2025-05-06 11:08:38 | INFO | stdout | Namespace(config='', host='localhost', port=8090, hf_scheme='https', hf_netloc='huggingface.co', hf_lfs_netloc='cdn-lfs.huggingface.co', mirror_scheme='http', mirror_netloc='localhost:8090', mirror_lfs_netloc='localhost:8090', has_lfs_site=False, ssl_key=None, ssl_cert=None, repos_path='./repos', cache_size_limit=None, cache_clean_strategy='LRU', log_path='./logs')
2025-05-06 11:08:38 | INFO | stdout | Namespace(config='', host='localhost', port=8090, hf_scheme='https', hf_netloc='huggingface.co', hf_lfs_netloc='cdn-lfs.huggingface.co', mirror_scheme='http', mirror_netloc='localhost:8090', mirror_lfs_netloc='localhost:8090', has_lfs_site=False, ssl_key=None, ssl_cert=None, repos_path='./repos', cache_size_limit=None, cache_clean_strategy='LRU', log_path='./logs')
2025-05-06 11:08:38 | ERROR | stderr | INFO:     Started server process [33251]
2025-05-06 11:08:38 | ERROR | stderr | INFO:     Waiting for application startup.
2025-05-06 11:08:38 | ERROR | stderr | INFO:     Application startup complete.
2025-05-06 11:08:38 | ERROR | stderr | INFO:     Uvicorn running on http://localhost:8090 (Press CTRL+C to quit)
2025-05-06 11:08:38 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/datasets/Salesforce/wikitext/resolve/main/.gitattributes "HTTP/1.1 200 OK"
2025-05-06 11:13:38 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/datasets/Salesforce/wikitext/resolve/main/.gitattributes "HTTP/1.1 200 OK"
2025-05-06 11:17:02 | INFO | stdout | INFO:     127.0.0.1:44528 - "GET /api/models/Qwen/Qwen2-VL-7B-Instruct/tree/main?recursive=True&expand=False HTTP/1.1" 307 Temporary Redirect
2025-05-06 11:17:02 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/models/Qwen/Qwen2-VL-7B-Instruct "HTTP/1.1 200 OK"
2025-05-06 11:17:02 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/models/Qwen/Qwen2-VL-7B-Instruct/revision/main "HTTP/1.1 200 OK"
2025-05-06 11:17:03 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/Qwen/Qwen2-VL-7B-Instruct/revision/main "HTTP/1.1 200 OK"
2025-05-06 11:17:03 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/Qwen/Qwen2-VL-7B-Instruct/tree/main/?recursive=true&expand=false "HTTP/1.1 302 Found"
2025-05-06 11:17:03 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/Qwen/Qwen2-VL-7B-Instruct/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"
2025-05-06 11:17:04 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/Qwen/Qwen2-VL-7B-Instruct/tree/eed13092ef92e448dd6875b2a00151bd3f7db0ac/?recursive=true&expand=false "HTTP/1.1 302 Found"
2025-05-06 11:17:04 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/Qwen/Qwen2-VL-7B-Instruct/tree/eed13092ef92e448dd6875b2a00151bd3f7db0ac?recursive=true&expand=false "HTTP/1.1 200 OK"
2025-05-06 11:17:04 | INFO | stdout | INFO:     127.0.0.1:44528 - "GET /api/models/Qwen/Qwen2-VL-7B-Instruct/tree/main/?recursive=True&expand=False HTTP/1.1" 200 OK
2025-05-06 11:17:04 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/models/Qwen/Qwen2-VL-7B-Instruct/revision/main "HTTP/1.1 200 OK"
2025-05-06 11:17:04 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/Qwen/Qwen2-VL-7B-Instruct/revision/main "HTTP/1.1 200 OK"
2025-05-06 11:17:05 | INFO | httpx | HTTP Request: POST https://huggingface.co/api/models/Qwen/Qwen2-VL-7B-Instruct/paths-info/eed13092ef92e448dd6875b2a00151bd3f7db0ac "HTTP/1.1 200 OK"
2025-05-06 11:17:05 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/Qwen/Qwen2-VL-7B-Instruct/resolve/eed13092ef92e448dd6875b2a00151bd3f7db0ac/config.json "HTTP/1.1 200 OK"
2025-05-06 11:17:05 | INFO | stdout | INFO:     127.0.0.1:44528 - "HEAD /Qwen/Qwen2-VL-7B-Instruct/resolve/main/config.json HTTP/1.1" 200 OK
2025-05-06 11:17:05 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/Qwen/Qwen2-VL-7B-Instruct/resolve/eed13092ef92e448dd6875b2a00151bd3f7db0ac/config.json "HTTP/1.1 200 OK"
2025-05-06 11:17:05 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/models/Qwen/Qwen2-VL-7B-Instruct/revision/main "HTTP/1.1 200 OK"
2025-05-06 11:17:06 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/Qwen/Qwen2-VL-7B-Instruct/revision/main "HTTP/1.1 200 OK"
2025-05-06 11:17:06 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/Qwen/Qwen2-VL-7B-Instruct/resolve/eed13092ef92e448dd6875b2a00151bd3f7db0ac/config.json "HTTP/1.1 200 OK"
2025-05-06 11:17:06 | INFO | stdout | INFO:     127.0.0.1:44528 - "GET /Qwen/Qwen2-VL-7B-Instruct/resolve/main/config.json HTTP/1.1" 200 OK
2025-05-06 11:17:06 | ERROR | stderr | /home/ubuntu/mnt/qylis/hf_proxy/proxyenv/lib/python3.10/site-packages/portalocker/utils.py:231: UserWarning: timeout has no effect in blocking mode
2025-05-06 11:17:06 | ERROR | stderr |   warnings.warn(
2025-05-06 11:17:06 | INFO | httpx | HTTP Request: GET https://huggingface.co/Qwen/Qwen2-VL-7B-Instruct/resolve/eed13092ef92e448dd6875b2a00151bd3f7db0ac/config.json "HTTP/1.1 206 Partial Content"
2025-05-06 11:17:06 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/models/Qwen/Qwen2-VL-7B-Instruct/revision/main "HTTP/1.1 200 OK"
2025-05-06 11:17:07 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/Qwen/Qwen2-VL-7B-Instruct/revision/main "HTTP/1.1 200 OK"
2025-05-06 11:17:07 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/Qwen/Qwen2-VL-7B-Instruct/resolve/eed13092ef92e448dd6875b2a00151bd3f7db0ac/config.json "HTTP/1.1 200 OK"
2025-05-06 11:17:07 | INFO | stdout | INFO:     127.0.0.1:44528 - "HEAD /Qwen/Qwen2-VL-7B-Instruct/resolve/main/config.json HTTP/1.1" 200 OK
2025-05-06 11:17:07 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/Qwen/Qwen2-VL-7B-Instruct/resolve/eed13092ef92e448dd6875b2a00151bd3f7db0ac/config.json "HTTP/1.1 200 OK"
2025-05-06 11:17:07 | INFO | stdout | INFO:     127.0.0.1:44528 - "GET /api/models/Qwen/Qwen2-VL-7B-Instruct/tree/main?recursive=True&expand=False HTTP/1.1" 307 Temporary Redirect
2025-05-06 11:17:07 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/models/Qwen/Qwen2-VL-7B-Instruct "HTTP/1.1 200 OK"
2025-05-06 11:17:07 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/models/Qwen/Qwen2-VL-7B-Instruct/revision/main "HTTP/1.1 200 OK"
2025-05-06 11:17:08 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/Qwen/Qwen2-VL-7B-Instruct/revision/main "HTTP/1.1 200 OK"
2025-05-06 11:17:08 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/Qwen/Qwen2-VL-7B-Instruct/tree/main/?recursive=true&expand=false "HTTP/1.1 302 Found"
2025-05-06 11:17:08 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/Qwen/Qwen2-VL-7B-Instruct/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"
2025-05-06 11:17:08 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/Qwen/Qwen2-VL-7B-Instruct/tree/eed13092ef92e448dd6875b2a00151bd3f7db0ac/?recursive=true&expand=false "HTTP/1.1 302 Found"
2025-05-06 11:17:09 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/Qwen/Qwen2-VL-7B-Instruct/tree/eed13092ef92e448dd6875b2a00151bd3f7db0ac?recursive=true&expand=false "HTTP/1.1 200 OK"
2025-05-06 11:17:09 | INFO | stdout | INFO:     127.0.0.1:44528 - "GET /api/models/Qwen/Qwen2-VL-7B-Instruct/tree/main/?recursive=True&expand=False HTTP/1.1" 200 OK
2025-05-06 11:17:09 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/models/Qwen/Qwen2-VL-7B-Instruct/revision/main "HTTP/1.1 200 OK"
2025-05-06 11:17:09 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/Qwen/Qwen2-VL-7B-Instruct/revision/main "HTTP/1.1 200 OK"
